"a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14"
1,1,8,4,0,0,1,2,"36.75",125,"1.5",0,232,114
1,1,4,4,0,0,0,2,"29.83","1.25","0.25",0,224,1
0,2,11,8,1,1,0,2,"24.08","0.5","1.25",1,0,679
1,1,8,8,0,0,0,2,"21.17","0.25","0.25",0,280,205
1,2,8,4,1,0,0,2,"31.42","15.5","0.5",0,120,1
1,2,7,4,1,1,0,2,"22.83",3,"1.29",1,260,801
1,1,8,5,1,0,1,2,"37.5","1.75","0.25",0,164,401
0,2,9,4,0,0,1,2,"24.83","4.5",1,0,360,7
1,2,9,4,1,0,1,2,"36.33","3.79",1165,0,200,1
0,2,11,8,1,1,0,2,"47.25","0.75","2.75",1,333,893
1,1,13,4,0,0,1,2,"32.08",4,"1.5",0,120,1
0,2,11,8,0,1,1,2,"30.58",10665,"0.08500",12,129,4
1,2,9,4,1,1,1,2,"27.83","1.54","3.75",5,100,4
1,2,10,9,1,1,0,2,"54.83","15.5",0,20,152,131
1,2,8,4,1,1,1,2,"16.08","0.75","1.75",5,352,691
1,2,9,4,1,0,1,2,"24.58","12.5",875,0,260,1
1,2,11,8,1,1,1,2,"32.67","5.5","5.5",12,408,1001
1,2,8,4,1,1,0,2,"30.17","0.5","1.75",11,32,541
1,2,4,4,0,0,1,2,"22.25","0.46",125,0,280,56
1,2,14,4,1,0,0,2,"41.75","0.96","2.5",0,510,601
1,2,3,4,0,0,1,2,"36.67",2,"0.25",0,221,1
1,2,13,4,0,0,0,2,"25.83",12835,"0.5",0,0,3
1,2,8,8,1,0,0,2,"29.92",1835,4335,0,260,201
1,2,11,4,0,0,0,2,"20.08","0.25",125,0,200,1
1,2,11,4,1,1,1,2,"19.67",375,2,2,80,1
1,2,14,8,1,0,0,2,"51.42","0.04","0.04",0,0,3001
1,2,10,9,0,0,0,2,"62.75",7,0,0,0,13
1,2,7,4,0,0,1,1,"40.58","3.29","3.5",0,400,1
0,2,6,4,0,0,0,2,"16.33","0.21",125,0,200,2
1,2,9,4,0,1,0,2,"29.5","0.58","0.29",1,340,2804
1,2,6,4,1,0,1,2,34,"4.5",1,0,240,1
0,2,8,4,0,0,0,3,"71.58",0,0,0,184,1
1,2,3,8,1,0,0,2,42,205,5125,0,400,1
0,1,11,4,1,0,1,2,"22.5",11,3,0,268,1
1,2,10,2,0,1,0,2,"24.42",2,165,2,320,1301
1,2,3,8,1,0,1,2,"44.33","0.5",5,0,320,1
0,2,14,8,1,1,1,2,23,"11.75","0.5",2,300,552
1,2,3,5,0,0,1,2,"34.42",1335,125,0,440,4501
1,2,3,4,1,1,0,2,"23.08","11.5","3.5",9,56,743
1,2,4,4,0,1,1,2,"25.92",875,375,2,174,4
0,2,6,4,1,0,1,2,"17.58",9,1375,0,0,1
1,2,11,4,0,0,0,2,"20.42",1085,"1.5",0,108,8
1,2,2,4,1,1,0,2,"31.67",16165,3,9,250,731
0,2,1,1,0,1,0,2,"57.58",2,"6.5",1,0,11
1,2,11,4,1,0,1,2,"59.67","1.54",125,0,260,1
0,2,1,1,1,1,1,2,"65.17",14,0,11,0,1401
1,1,3,5,1,1,1,2,"30.08","1.04","0.5",10,132,29
1,2,11,8,1,0,1,2,"48.58","6.5",6,0,350,1
0,1,4,8,0,0,1,2,"23.58","11.5",3,0,20,17
1,2,8,4,1,1,1,2,"20.17","9.25",1665,3,40,29
1,2,9,8,1,1,0,2,"48.17",7625,"15.5",12,0,791
1,2,11,4,1,1,1,2,"23.25","1.5",2375,3,0,583
1,1,1,1,0,1,0,2,"32.25",14,0,2,160,2
1,1,13,4,0,0,0,2,"33.58",335,"0.08500",0,180,1
1,1,9,4,1,1,1,2,"23.58","0.46",2625,6,208,348
1,1,4,4,0,0,0,1,"16.92",335,"0.29",0,200,1
0,2,8,4,0,0,0,2,"20.83","8.5",165,0,0,352
0,2,11,4,1,0,1,2,"60.58","16.5",11,0,21,10562
1,1,6,4,1,0,0,2,"31.57",5,"8.5",0,0,1
0,2,13,8,1,1,0,2,25,"12.33","3.5",6,400,459
1,2,8,4,1,0,0,2,"21.5","9.75","0.25",0,140,1
1,2,8,4,0,0,0,3,"20.42",0,0,0,184,1
0,1,1,1,0,1,1,2,"25.25","13.5",2,1,200,2
1,2,11,4,1,0,0,1,"42.83",4625,"4.58",0,0,1
1,1,8,4,1,1,1,2,"26.67","1.75",1,5,160,5778
1,2,7,4,1,1,1,2,"57.83","7.04",14,6,360,1333
1,2,1,1,1,1,0,2,"55.92","11.5",5,5,0,8852
1,2,3,5,1,1,0,2,"51.33",10,0,11,0,1250
1,2,7,4,1,0,0,1,"39.83","0.5","0.25",0,288,1
1,1,6,4,1,1,1,2,"27.58","2.04",2,3,370,561
1,2,13,4,1,1,0,2,"30.17","6.5",3125,8,330,1201
1,1,1,1,0,0,0,2,"51.83","2.04","1.5",0,120,2
0,1,6,4,1,0,0,2,25,11,"4.5",0,120,1
1,1,8,4,0,0,0,2,"29.67","0.75","0.04",0,240,1
0,2,13,4,0,0,0,2,"33.67",375,375,0,300,45
1,2,8,5,1,0,0,2,"25.75","0.75","0.25",0,349,24
0,2,8,4,1,1,1,2,"28.67","1.04","2.5",5,300,1431
0,3,13,1,0,0,1,1,"18.08",375,10,0,300,1
1,2,8,4,1,1,0,2,"20.42",7,1625,3,200,1392
1,1,7,4,0,0,0,2,"18.08","6.75","0.04",0,140,1
1,2,7,5,1,1,1,2,"47.67","2.5","2.5",12,410,2511
1,2,10,8,1,1,0,2,"57.42","8.5",7,3,0,1
1,1,9,4,1,1,1,2,"13.75",4,"1.75",2,120,1001
1,2,11,4,1,0,1,2,"19.33","9.5",1,0,60,401
0,2,4,8,0,0,0,2,"21.92",11665,"0.08500",0,320,6
1,2,9,8,0,1,0,2,"17.58",10,165,1,120,2
1,1,9,4,0,0,0,1,"34.83","2.5",3,0,200,1
1,2,9,4,1,1,1,2,"29.17","3.5","3.5",3,329,1
1,1,12,7,0,0,1,2,"21.42","0.75","0.75",0,132,3
1,2,8,8,0,0,0,2,"18.17","10.25",1085,0,320,14
1,2,9,4,0,0,1,2,28,3,"0.75",0,300,68
0,2,11,4,1,1,1,2,"45.83","10.5",5,7,0,1
1,2,3,4,0,0,0,2,"22.75","11.5",415,0,0,1
0,2,2,4,1,0,1,2,"31.57","3.5",3,0,300,1
0,2,4,4,1,1,0,2,"20.42","7.5","1.5",1,160,235
0,2,3,5,1,1,0,1,"21.25",2335,"0.5",4,80,1
1,2,13,4,1,1,1,2,"26.67","4.25","4.29",1,120,1
0,2,1,1,0,0,0,2,"27.33",1665,0,0,340,2
1,2,9,4,1,1,1,2,"42.08","1.04",5,6,500,10001
0,2,9,4,0,1,0,2,"18.25",10,1,1,120,2
0,2,11,4,1,1,1,2,"28.5",1,1,2,167,501
0,2,6,4,1,1,0,2,"21.5",6,"2.5",3,80,919
1,2,14,4,1,1,0,2,"21.83",11,"0.29",6,121,1
1,2,8,4,0,0,0,2,"21.92","0.5",125,0,360,1
1,1,9,8,1,0,1,2,"32.67",9,"5.25",0,154,1
0,2,11,4,0,0,1,2,"45.33",1,125,0,263,1
0,1,1,1,0,0,0,2,"23.58",585,125,0,120,88
0,2,8,4,0,1,1,2,"17.92","0.54","1.75",1,80,6
1,1,9,4,0,0,1,2,33,"2.5",7,0,280,1
0,2,11,4,0,0,0,1,"22.67",335,"0.75",0,160,1
1,2,7,4,0,0,0,1,"34.67","1.08",1165,0,28,1
1,2,9,8,1,1,0,2,"29.67",1415,"0.75",1,240,101
1,2,6,4,1,0,1,2,"31.83","2.5","7.5",0,523,1
0,2,11,4,1,1,0,2,"20.67",1835,2085,5,220,2504
1,2,3,5,0,0,0,2,"33.75","2.75",0,0,180,1
1,2,8,8,0,0,1,2,"22.08","0.83",2165,0,128,1
0,2,11,8,1,1,0,2,"35.42",12,14,8,0,6591
1,2,13,8,1,1,0,2,"31.92","4.46","6.04",3,311,301
0,2,3,4,0,0,0,2,"22.67","0.79","0.08500",0,144,1
1,2,3,5,0,0,1,2,"26.67",14585,0,0,178,1
1,2,7,4,1,1,1,2,44,2,"1.75",2,0,16
1,1,8,4,0,0,0,2,"30.17",1085,"0.04",0,170,180
1,2,11,8,1,1,1,2,"37.75",7,"11.5",7,300,6
1,1,8,4,0,0,0,2,"17.08","0.08500","0.04",0,140,723
1,2,1,1,0,0,0,2,"49.17","2.29","0.29",0,200,4
1,2,7,4,0,0,0,1,"22.92","0.17","0.08500",0,0,1
0,1,3,8,0,0,1,2,"34.83","1.25","0.5",0,160,1
1,1,2,4,1,0,0,1,"44.25",11,"1.5",0,0,1
1,2,9,4,1,1,1,2,"59.5","2.75","1.75",5,60,59
1,2,7,4,1,1,0,2,"25.5",375,"0.25",3,260,15109
0,2,6,4,0,0,0,2,"41.58","1.04",665,0,240,238
1,2,1,1,1,1,0,2,"49.58",19,0,1,94,1
0,1,1,1,1,0,0,2,"33.92",1585,0,0,320,1
1,1,3,4,0,0,1,2,"19.17",4,1,0,360,1001
0,1,8,4,0,0,0,2,"24.5",2415,0,0,120,1
1,2,8,8,1,0,0,2,"23.33","1.5",1415,0,422,201
1,2,1,1,0,1,0,2,"69.17",9,4,1,70,7
1,2,8,5,1,1,0,2,"47.67","0.29",15,20,0,15001
0,1,8,4,0,0,1,2,"33.25","2.5","2.5",0,0,3
1,2,11,8,1,1,0,2,"43.25",3,6,11,80,1
1,1,6,4,1,0,0,2,23,625,125,0,180,2
1,2,13,5,0,0,0,2,"34.75","2.5","0.5",0,348,1
1,2,2,5,1,1,1,2,"56.58","18.5",15,17,0,1
0,2,11,4,1,1,1,2,"44.17",6665,7375,3,0,1
0,2,8,4,1,0,0,2,"44.33",0,"2.5",0,0,1
1,2,9,5,1,0,1,2,"34.25","1.75","0.25",0,163,1
0,2,4,8,0,0,1,1,45,4585,1,0,240,1
1,1,7,4,0,0,1,1,"30.58","2.71",125,0,80,1
1,2,11,8,0,0,1,2,"27.67","0.75",165,0,220,252
1,2,7,4,0,1,0,2,"19.42","7.25","0.04",1,100,2
0,2,3,5,1,0,1,2,"41.33",1,"2.25",0,0,301
0,2,9,4,0,0,1,2,"23.5","1.5",875,0,160,1
1,2,14,4,1,1,1,2,"31.67","0.83",1335,8,303,3291
0,2,14,8,1,1,0,2,"17.83",11,1,11,0,3001
0,1,13,4,0,0,1,2,"33.17","2.25","3.5",0,200,142
0,2,6,8,0,0,0,2,"52.5",7,3,0,0,1
0,2,11,4,1,1,0,2,"25.42",1125,"1.29",2,200,1
1,2,3,5,0,0,0,1,"40.58","1.5",0,0,300,1
1,1,13,8,0,0,0,2,"23.92",585,125,0,240,2
1,2,4,8,1,0,1,2,56,"12.5",8,0,24,2029
0,1,14,8,1,1,0,2,"28.5","3.04","2.54",1,70,1
1,2,7,4,1,0,1,2,"32.08",4,"2.5",0,360,1
1,1,8,8,0,0,0,2,"21.17",875,"0.25",0,280,205
1,2,8,4,1,1,1,2,"34.17","9.17","4.5",12,0,222
1,2,11,8,1,1,0,2,"43.25","25.21","0.21",1,760,91
0,2,4,4,1,0,1,2,"38.25",6,1,0,0,1
1,2,9,4,1,0,1,2,"37.42","2.04","0.04",0,400,5801
1,1,14,8,0,0,0,2,"29.83","2.04","0.04",0,128,2
1,2,13,4,0,0,1,2,"37.33",2665,165,0,0,502
1,2,8,4,1,1,0,2,"31.33","19.5",7,16,0,5001
1,2,1,1,0,0,0,2,"36.08","2.54",0,0,0,1001
1,2,8,4,1,1,1,2,"20.5",2415,2,11,200,3001
1,2,9,4,0,0,0,2,"47.17",5835,"5.5",0,465,151
1,1,3,5,0,0,1,2,22,7835,165,0,184,1
1,1,8,4,1,0,0,1,"20.5",10,"2.5",0,40,1
1,2,9,4,1,0,1,2,"34.92","2.5",0,0,239,201
1,2,7,4,0,1,0,2,"24.08",875,"0.08500",4,254,1951
1,2,7,8,1,1,1,2,"37.33","6.5","4.25",12,93,1
0,2,3,4,0,0,0,2,"20.75","9.54","0.04",0,200,1001
1,2,11,8,1,0,1,2,"36.67","3.25",9,0,102,640
1,2,14,4,1,1,0,2,"22.58","10.04","0.04",9,60,397
0,2,11,8,1,1,0,2,"26.92","13.5",5,2,0,5001
0,2,13,8,1,1,1,2,"46.67","0.46",415,11,440,7
0,1,1,1,0,0,0,2,"52.17",0,0,0,0,1
1,1,3,8,0,0,1,1,"39.17","2.5",10,0,200,1
1,2,8,4,1,1,0,2,"39.17",1625,"1.5",10,186,4701
0,2,9,4,0,0,1,2,"27.67","2.04","0.25",0,180,51
1,2,9,4,1,0,0,2,"19.17","9.5","1.5",0,120,2207
1,2,8,5,1,1,0,2,"39.5","4.25","6.5",16,117,1211
1,1,2,4,0,0,0,2,"36.42","0.75",585,0,240,4
1,2,3,5,1,0,1,2,"26.17","0.25",0,0,0,1
1,1,7,4,0,0,0,1,"39.42","1.71",165,0,400,1
1,2,8,8,1,1,0,2,"41.92","0.42","0.21",6,220,949
1,2,6,4,1,1,0,2,"21.33","7.5",1415,1,80,9801
0,2,8,4,0,0,0,2,"20.08","1.25",0,0,0,1
0,2,7,4,0,1,1,2,"27.58",3,"2.79",1,280,11
1,1,13,4,0,0,0,2,"21.58","0.79",665,0,160,1
1,2,14,4,1,1,0,2,"28.25",5125,"4.75",2,420,8
1,2,3,5,0,0,1,2,"26.92","2.25","0.5",0,640,4001
0,2,11,4,1,1,0,2,"18.42","9.25","1.21",4,60,541
0,2,11,4,1,1,0,2,"23.25",5875,"3.17",10,120,246
1,2,8,4,0,0,1,2,"23.58","1.79","0.54",0,136,2
1,2,9,4,1,0,1,2,"28.33",5,11,0,70,1
1,1,6,4,1,0,0,2,"25.67","2.21",4,0,188,1
0,2,11,4,1,0,1,2,"28.58",1665,2415,0,440,1
1,1,8,4,0,0,0,2,"22.92",3165,165,0,160,1059
0,1,1,1,1,1,0,2,"24.5","1.04","0.5",3,180,148
1,2,7,4,0,0,1,2,"24.75","0.54",1,0,120,2
1,1,10,8,1,0,1,2,32,"1.75","0.04",0,393,1
1,2,3,5,0,0,0,2,"48.08","3.75",1,0,100,3
0,2,9,4,1,0,0,1,"28.42","3.5",835,0,280,1
1,2,9,4,0,1,0,2,"25.42","0.54",165,1,272,445
1,2,1,1,0,0,0,2,"18.58","10.29",415,0,80,1
1,1,4,4,1,1,0,2,"21.67",1165,"2.5",1,180,21
1,2,8,4,0,0,0,2,"24.58","1.25","0.25",0,110,1
1,2,3,8,0,0,1,2,"16.33",4085,415,0,120,1
1,2,2,4,0,0,1,2,"26.75",2,"0.75",0,80,1
1,2,6,4,1,0,0,1,"48.17","3.5","3.5",0,230,1
1,2,1,1,0,0,0,2,"23.5","2.75","4.5",0,160,26
0,1,11,8,1,1,1,2,41,"2.04",125,23,455,1237
1,2,8,4,0,0,0,1,"23.75",12,2085,0,80,1
1,2,11,4,1,1,0,2,"18.67",5,375,2,0,39
1,2,2,8,0,0,1,1,"30.33","0.5","0.08500",0,252,1
0,2,8,4,1,1,1,2,"19.75","0.75",795,5,140,6
1,2,13,4,0,0,0,2,"26.17",835,1165,0,100,1
1,1,8,4,1,0,1,2,"28.75","1.5","1.5",0,0,226
1,2,11,8,1,1,0,2,"28.67",9335,5665,6,381,169
1,2,11,4,1,0,1,2,26,1,"1.75",0,280,1
1,1,4,4,0,1,1,2,"23.5",3165,415,1,280,81
1,2,10,2,0,0,1,2,"26.33",13,0,0,140,1111
1,2,8,8,1,1,1,2,"54.33","6.75",2625,11,0,285
1,2,2,4,1,0,1,1,"31.57",375,875,0,928,1
0,2,2,4,0,0,1,2,"25.25","12.5",1,0,180,1063
1,1,14,4,1,1,1,2,"33.17",3165,3165,3,380,1
1,2,8,4,0,0,0,2,"39.5",1625,"1.5",0,0,317
0,1,5,1,0,0,0,2,"17.67",0,0,0,86,1
1,2,8,4,0,0,0,2,"23.92",665,165,0,100,1
1,1,13,4,1,1,0,2,"26.67","2.71","5.25",1,211,1
0,2,3,4,0,0,1,1,"22.5",415,335,0,144,1
1,1,6,4,1,1,0,2,"39.92","0.54","0.5",3,200,1001
0,2,6,4,1,0,0,2,"26.08",8665,1415,0,160,151
1,2,2,4,0,0,0,2,20,0,"0.5",0,144,1
1,1,3,4,0,0,1,2,"31.57",4,"0.08500",0,411,1
1,1,8,5,0,0,0,2,"26.75","4.5","2.5",0,200,1211
0,2,1,1,1,0,0,2,"24.92","1.25",0,0,80,1
0,2,8,4,0,0,1,2,"32.25","1.5","0.25",0,372,123
1,2,8,4,0,0,0,1,"17.67","4.46","0.25",0,80,1
0,2,11,4,1,0,1,2,"37.75","5.5",125,0,228,1
1,1,8,8,1,0,0,2,"22.67","2.54",2585,0,0,1
0,2,1,1,0,0,0,2,"17.92","10.21",0,0,0,51
1,2,11,8,1,0,1,2,"24.42",12335,1585,0,120,1
0,2,8,8,1,0,1,2,"25.75","0.5",875,0,491,1
1,1,4,8,0,0,1,2,"26.17","12.5","1.25",0,0,18
0,2,6,4,0,0,0,2,"22.75",6165,165,0,220,1001
1,2,7,4,1,0,1,1,23,"0.75","0.5",0,320,1
1,1,8,4,0,0,1,2,"25.67","0.29","1.5",0,160,1
1,1,4,4,1,1,0,2,"48.58",205,"0.25",11,380,2733
1,2,8,4,0,0,1,1,"21.17",0,"0.5",0,0,1
1,1,8,4,1,0,0,2,"35.25","16.5",4,0,80,1
0,2,13,4,1,0,0,2,"22.92",11585,"0.04",0,80,1350
0,2,3,7,0,0,0,2,"48.17",1335,335,0,0,121
1,1,13,8,1,1,0,2,43,"0.29","1.75",8,100,376
1,2,14,4,1,0,0,2,"31.57","10.5","6.5",0,0,1
1,2,8,4,0,0,0,2,"20.67",415,125,0,0,45
0,2,6,4,1,0,0,2,"18.83","9.54","0.08500",0,100,1
0,2,14,8,1,1,0,2,"27.42","14.5",3085,1,120,12
1,2,10,4,0,1,0,1,41,"0.04","0.04",1,560,1
